role,name,team,q,fvm,alias
C,Foe Ondoa,Monza,2,6,
C,Forson O.,Monza,2,6,
D,Goglichidze,Monza,2,6,
C,Hasa,Frosinone,2,6,
D,Jean,Lecce,2,6,
C,Jovanovic,Udinese,2,6,
C,Lipani,Sassuolo,2,6,
D,Lulli,Roma,2,6,
D,Marin R.,Napoli,2,6,
D,Ndaba,Lecce,2,6,
D,Ndiaye,Parma,2,6,
D,Otoa,Genoa,2,6,
A,Petagna,Monza,2,6,
D,Puczka,Genoa,2,6,
D,Sagrado,Venezia,2,6,
D,Terracciano F.,Milan,2,6,
D,Van Der Brempt,Sassuolo,2,6,
C,Venturino,Genoa,2,6,
C,Zarraga,Udinese,2,6,
A,Albarracin,Cagliari,1,2,
D,Amey,Frosinone,1,2,
C,Anjorin,Torino,1,2,
D,Antov,Monza,1,2,
A,Azon,Como,1,2,
A,Bayo V.,Udinese,1,2,
C,Camara A.,Udinese,1,2,
D,Carboni F.,Parma,1,2,
P,Christensen O.,Fiorentina,1,2,
C,Ciervo,Cagliari,1,2,
C,Comotto,Milan,1,2,
D,Corrado,Frosinone,1,2,
D,Cuenca A.,Como,1,2,
C,Dagasso,Venezia,1,2,
A,De Martis,Parma,1,2,
D,De Silvestri,Bologna,1,2,
D,Dembelè A.,Lecce,1,2,
C,El Azzouzi A.,Frosinone,1,2,
C,Fofana Sa.,Lecce,1,2,
D,Gelli J.,Frosinone,1,2,
P,Ghidotti,Parma,1,2,
D,Goldaniga,Como,1,2,
D,Gomes,Venezia,1,2,
P,Grandi,Venezia,1,2,
C,Iannoni,Sassuolo,1,2,
C,Ilic,Lecce,1,2,
C,Kaba,Lecce,1,2,
C,Kone B.,Frosinone,1,2,
C,Laerke,Lecce,1,2,
C,Lahdo,Como,1,2,
A,Lauberbach,Venezia,1,2,
A,Lisman,Venezia,1,2,
C,Liteta,Cagliari,1,2,
P,Lolic,Frosinone,1,2,
D,Marianucci,Napoli,1,2,
P,Mascardi,Torino,1,2,
D,Matturro,Genoa,1,2,
D,Maye,Monza,1,2,
D,Mazzocchi,Venezia,1,2,
D,Missori,Sassuolo,1,2,
D,Mlacic,Udinese,1,2,
A,Moro L.,Sassuolo,1,2,
P,Motta,Lazio,1,2,
C,Mout,Monza,1,2,
P,Mrozek,Udinese,1,2,
D,Omar Fayed,Frosinone,1,2,
D,Oyono J.,Frosinone,1,2,
P,Padelli,Udinese,1,2,
P,Paleari,Torino,1,2,
D,Patric,Lazio,1,2,
P,Penev,Lecce,1,2,
P,Pessina Mas.,Bologna,1,2,
P,Piana,Udinese,1,2,
D,Pieragnolo,Sassuolo,1,2,
P,Pisseri,Frosinone,1,2,
P,Pizzignacco,Monza,1,2,
P,Pozzi,Venezia,1,2,
C,Przyborek,Lazio,1,2,
P,Radunovic,Cagliari,1,2,
P,Renzetti,Lazio,1,2,
A,Robinho Junior,Genoa,1,2,
D,Rugani,Juventus,1,2,
P,Russo A.,Sassuolo,1,2,
P,Satalino,Sassuolo,1,2,
P,Sherri,Cagliari,1,2,
P,Siviero,Torino,1,2,
P,Sommariva,Genoa,1,2,
P,Stolz,Genoa,1,2,
P,Strajnar,Monza,1,2,
P,Tornqvist,Monza,1,2,
P,Vigorito,Como,1,2,
P,Vismara,Atalanta,1,2,
